Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Unnamed",,"Kamchatka","Cinder cone","52.57","157.02","610","POINT(157.02 52.57)",,,"1399"
"Unnamed",,"Kamchatka","Shield volcanoes","52.92","158.52","450","POINT(158.52 52.92)",,,"1400"
"Unnamed",,"Kamchatka","Shield volcanoes","52.88","158.3","700","POINT(158.3 52.88)",,,"1401"
"Unnamed",,"Kamchatka","Shield volcano","56.82","158.95","1185","POINT(158.95 56.82)",,,"1402"
"Unnamed",,"China-W","Volcanic field","35.85","91.7","5400","POINT(91.7 35.85)",,,"1403"
"Unnamed",,"Alaska Peninsula","Lava dome","57.87","-155.42","300","POINT(-155.42 57.87)",,,"1404"
"Unnamed",,"Pacific-NE","Submarine volcano ?","31.75","-124.25","-2533","POINT(-124.25 31.75)",,,"1405"
"Unnamed",,"Hawaiian Is","Submarine volcano ?","21.75","-158.75","-3000","POINT(-158.75 21.75)",,,"1406"
"Unnamed",,"Hawaiian Is","Submarine volcano","23.58","-163.83","-4000","POINT(-163.83 23.58)",,,"1407"
"Unnamed",,"Pacific-E","Submarine volcano","9.83","-104.3","-2500","POINT(-104.3 9.83)",,,"1408"
"Unnamed",,"Pacific-E","Submarine volcano","-8.27","-107.95","-2800","POINT(-107.95 -8.27)",,,"1409"
"Unnamed",,"Pacific-S","Submarine volcano","-53.9","-140.3","-1000","POINT(-140.3 -53.9)",,,"1410"
"Unnamed",,"Chile-Is","Submarine volcano","-33.62","-76.83","-642","POINT(-76.83 -33.62)",,,"1411"
"Unnamed",,"Arctic Ocean","Submarine volcano","88.27","-65.6","-1500","POINT(-65.6 88.27)",,,"1412"
"Unnamed",,"Arctic Ocean","Submarine volcano","85.58","85","-3800","POINT(85 85.58)",,,"1413"
"Unnamed",,"Atlantic-N","Submarine volcano","49","-34.5","-1650","POINT(-34.5 49)",,,"1414"
"Unnamed",,"Atlantic-N","Submarine volcano","39.95","-25.83","-2835","POINT(-25.83 39.95)",,,"1415"
"Unnamed",,"Atlantic-N","Submarine volcano","38.75","-38.08","-4200","POINT(-38.08 38.75)",,,"1416"
"Unnamed",,"Atlantic-C","Submarine volcano ?","7","-21.83","-1415","POINT(-21.83 7)",,,"1417"
"Unnamed",,"Atlantic-C","Submarine volcano","4.2","-21.45","-2900","POINT(-21.45 4.2)",,,"1418"
"Unnamed",,"Atlantic-C","Submarine volcano","-0.72","-20.53","-1528","POINT(-20.53 -0.72)",,,"1419"
"Unnamed",,"Atlantic-C","Submarine volcano","-3.5","-24.5","-5300","POINT(-24.5 -3.5)",,,"1420"
"Unnamed",,"Antarctica","Scoria cones","-73.45","164.58","2987","POINT(164.58 -73.45)",,,"1421"
"Unnamed",,"Antarctica","Submarine volcano","-76.83","163","-500","POINT(163 -76.83)",,,"1422"
"Unzen",,"Kyushu-Japan","Complex volcano","32.76","130.29","1500","POINT(130.29 32.76)",,,"1423"
"Upolu",,"Samoa-SW Pacific","Shield volcano","-13.94","-171.72","1100","POINT(-171.72 -13.94)",,,"1424"
"Urataman",,"Kuril Is","Somma volcano","47.12","152.25","678","POINT(152.25 47.12)",,,"1425"
"Ushishur",,"Kuril Is","Caldera","47.52","152.8","401","POINT(152.8 47.52)",,,"1426"
"Ushkovsky",,"Kamchatka","Compound volcano","56.07","160.47","3943","POINT(160.47 56.07)",,,"1427"
"Usu",,"Hokkaido-Japan","Stratovolcano","42.54","140.84","737","POINT(140.84 42.54)",,,"1428"
"Usulután",,"El Salvador","Stratovolcano","13.42","-88.47","1449","POINT(-88.47 13.42)",,,"1429"
"Utila Island",,"Honduras","Pyroclastic cones","16.1","-86.9","74","POINT(-86.9 16.1)",,,"1430"
"'Uwayrid, Harrat",,"Arabia-W","Volcanic field","27.08","37.25","1920","POINT(37.25 27.08)",,,"1431"
"Uzon",,"Kamchatka","Calderas","54.5","159.97","1617","POINT(159.97 54.5)",,,"1432"
"Vailulu'u",,"Samoa-SW Pacific","Submarine volcano","-14.22","-169.06","-592","POINT(-169.06 -14.22)",,,"1433"
"Vakak Group",,"Afghanistan","Volcanic field","34.25","67.97","3190","POINT(67.97 34.25)",,,"1434"
"Valle, El",,"Panamá","Stratovolcano","8.58","-80.17","1185","POINT(-80.17 8.58)",,,"1435"
"Vatnafjöll",,"Iceland-S","Fissure vents","63.92","-19.67","1235","POINT(-19.67 63.92)",,,"1436"
"Veer",,"Kamchatka","Cinder cones","53.75","158.45","520","POINT(158.45 53.75)",,,"1437"
"Veniaminof",,"Alaska Peninsula","Stratovolcano","56.17","-159.38","2507","POINT(-159.38 56.17)",,,"1438"
"Verkhovoy",,"Kamchatka","Shield volcano","56.52","159.53","1400","POINT(159.53 56.52)",,,"1439"
